id,title,state,phases,source,url,disposition,routing_basis,body,head,base,head_branch,base_branch,ahead_main,behind_main,file_count,files,failed_checks
RESEARCH:docs/research/AI-BENCHMARK-RESULTS.md,AI benchmark results (ARQ-168),reference; adoption requires current owner/ADR evidence,"[""E36""]",docs/research/AI-BENCHMARK-RESULTS.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/AI-BENCHMARK-RESULTS.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/ARQFS-OPFS-CAPABILITY.md,SQLite WASM + OPFS capability (ARQ-196/219/220),reference; adoption requires current owner/ADR evidence,"[""E02""]",docs/research/ARQFS-OPFS-CAPABILITY.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/ARQFS-OPFS-CAPABILITY.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/COMMUNITY-RESEARCH-PROTOCOL.md,Community research protocol,reference; adoption requires current owner/ADR evidence,"[""E03""]",docs/research/COMMUNITY-RESEARCH-PROTOCOL.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/COMMUNITY-RESEARCH-PROTOCOL.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/COMPETITOR-WORKFLOW-AUDIT.md,Competitor workflow audit,reference; adoption requires current owner/ADR evidence,"[""E01""]",docs/research/COMPETITOR-WORKFLOW-AUDIT.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/COMPETITOR-WORKFLOW-AUDIT.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/GEOMETRY-LIBRARY-SPIKE.md,"Geometry library spike (ARQ-086, ARQ-087, ARQ-088, ARQ-089)",reference; adoption requires current owner/ADR evidence,"[""E05""]",docs/research/GEOMETRY-LIBRARY-SPIKE.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/GEOMETRY-LIBRARY-SPIKE.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/INTERVIEW-GUIDE.md,Architect workflow interview guide,reference; adoption requires current owner/ADR evidence,"[""E01""]",docs/research/INTERVIEW-GUIDE.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/INTERVIEW-GUIDE.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/INTERVIEW-NOTES-TEMPLATE.md,Interview notes,reference; adoption requires current owner/ADR evidence,"[""E01""]",docs/research/INTERVIEW-NOTES-TEMPLATE.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/INTERVIEW-NOTES-TEMPLATE.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/PARTICIPANT-SCREENER.md,Participant screener,reference; adoption requires current owner/ADR evidence,"[""E04""]",docs/research/PARTICIPANT-SCREENER.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/PARTICIPANT-SCREENER.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/PASCAL-EDITOR-ADOPTION-LEDGER-2026-09.md,Pascal Editor adoption ledger,reference; adoption requires current owner/ADR evidence,"[""E01""]",docs/research/PASCAL-EDITOR-ADOPTION-LEDGER-2026-09.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/PASCAL-EDITOR-ADOPTION-LEDGER-2026-09.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/PENCIL-WEB-INPUT.md,Pencil web input (ARQ-171),reference; adoption requires current owner/ADR evidence,"[""E22""]",docs/research/PENCIL-WEB-INPUT.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/PENCIL-WEB-INPUT.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
RESEARCH:docs/research/RENDER-FRAME-BENCHMARK.md,Render frame benchmark (ARQ-151),reference; adoption requires current owner/ADR evidence,"[""E23""]",docs/research/RENDER-FRAME-BENCHMARK.md,https://github.com/ruddvz/Arq/blob/a02ccc69e44e41324324c9482a43edbfb58e7905/docs/research/RENDER-FRAME-BENCHMARK.md,Retain provenance and suggestions; reconcile through incoming triage/adoption ledger. AOGRP does not replace SQLite; reference implementations do not replace current packages.,source index inventory; detailed proposal adoption remains phase-gated,,,,,,,,,,
