8703a611c1615791c58ddbdf7920d2c2b5f9876c	2026-09-13	ci(ux): separate #401 multi-select state-flow from browser geometry
f06369e6dfa726ab0324b736772f0c75d960e839	2026-09-13	test(ux): add #401 multi-selection state-flow evidence
eba1e66af4c3d6ba807720a31a1df9d39d86ca77	2026-09-14	test(ux): assert #401 multi-selection by contract
02840fb647c286880707bd8641d6d23575136f73	2026-09-13	ci(ux): persist cardinality-safe #401 multi-select evidence
7679c2df51512a6ba0d878cb4d1d2be1d3aa5f9c	2026-09-13	ci(ux): finalize #401 deterministic evidence lane
f798ef2284d4affcf19dbf4b0242d1d7b3f2b94d	2026-09-14	test(ux): avoid browser overlay in #401 marquee probe
69730363dc67d5aebee061216b7a063080067ef2	2026-09-13	ci(ux): persist crossing-marquee #401 probe
a02ccc69e44e41324324c9482a43edbfb58e7905	2026-09-13	test(UX): close #398 command reachability evidence
de68d89f982e48d365110a97fb0c079c89f4daaf	2026-09-13	docs(ux): refresh #401 authority map at current main
f7d0527edaa65a6e0763cb8f1b6a60568ea82641	2026-09-13	test(UX): drive disabled command with raw pointer
1b5501fb620a8e6f18a94283080041cdf68bf631	2026-09-13	ci(ux): simplify #401 evidence workflow
34cbb2b529c3d2597bcb808e527102df7676d48a	2026-09-14	test(ux): persist deterministic #401 browser probe
baa0f2ff02627622f1028a32733988f74990240b	2026-09-13	ci(ux): persist #401 probe from feature branch
a6bb7a2cbc29798681f2c1d042961e5bd794c812	2026-09-13	test(UX): assert canonical overlay tier ordering
8d7b809c94186cd3b2ae7a83eb31d2ee3758c466	2026-09-13	docs(UX): clarify canonical layer ownership
9fd29579053c6d885d8d616553d860302a670cb7	2026-09-13	ci(ux): persist corrected #401 probe source
884a8c98a7ebd21b178ee47a04f0c426bf804992	2026-09-13	docs(UX): clarify overlay zone shell tier ownership
54fcad0f3ce2fee88cb46dcf0c6c45c291b5d4b4	2026-09-13	test(UX): forbid local layer number redefinition
0bad52e45807644b21ee0a3c2d9c1b3f1b76b595	2026-09-13	docs(UX): align overlay contract with shell token authority
dfa345f5f488c369b6484dad657e2dba2c509160	2026-09-13	test(UX): read overlay tiers from shell authority
